danci,yinbiao,yisi,liju
adorable,[əˈdɔːrəb(ə)l],非常可爱的 = very cute.,The newborn baby is adorable.
brilliant,[ˈbrɪliənt],才华横溢的 = very smart.,The brilliant teacher brings out the best in her student.
fascinating,[ˈfæsɪneɪtɪŋ],引人入胜的 = very intresting and attractive.,Have you seen this new documentary? It's fasnating.
crucial,[ˈkruːʃ(ə)l],至关重要的 = very important,The data analysis is crucial for the success of the project.
freezing,[ˈfriːzɪŋ],极冷的 = very cold,I'm freezing without the heater.
gigantic,[dʒaɪˈɡæntɪk],巨大的 = very big,That whale is gigantic
cautious,[ˈkɔːʃəs],谨慎的 = very careful,Physicians are cautious about using the non-approved therapy on patients.
stinky,[ˈstɪŋki],恶臭的 = very smelly,The fish market is stinky
provide for, ,供养...,provide for our family
resolve,[rɪˈzɑːlv],解决、决心,she resolved to sticking to her goals.
head to, ,前往,We should ger ready and head to the market to buy something.
process of, ,...的过程,go through the process of 经历了...的过程
knock yourself out, ,别客气，请自便,
all set, ,准备就绪,"Are you all set, do you pack everything?"
vibrant,[ˈvaɪbrənt],充满活力的、鲜亮的(色彩),
leave out, ,遗漏,
caress,[kəˈres],抚摸,He was gently caressing her hair.
flashy,[ˈflæʃi],俗艳的,
yap on, ,唠唠叨叨,"I'm trying to watch the game, but you're yapping on about your new clothes."
blabber,[ˈblæbər],喋喋不休,It's the third quater and you've blabbering on since the first!
threaten,[ˈθret(ə)n],威胁,
mittens,[ˈmɪtnz],露指手套,
earmuffs,[ˈɪrmʌfs],耳罩,
turn over a new leaf, ,改过自新,
wipe the slate clean, ,往事一笔勾销,
pinch pennies, ,精打细算,
metaphor,[ˈmetəfər],比喻,"It's just a metaphor, a way of say this is very competitive."
Then comes the hard part, ,然后难的地方来了,
hassle,[ˈhæs(ə)l],麻烦，困难,I don't think it's worth the money or the hassle.
carbohydrate,[ˌkɑːrboʊˈhaɪdreɪt],碳水,
protein,[ˈproʊtiːn],蛋白质,
Don't cout on it., ,不要指望它,
a set of, ,一套,They issued a special set of stamps.
suburb,[ˈsʌbɜːrb],郊区,"suburban  郊区的
词源：sub【下】 + urb【城市】"
bungalow,[ˈbʌŋɡəloʊ],平房,
lawn,[lɔːn],草坪,"mow the lawn 修剪草坪
I mow the lawn every week in summer."
minimal,[ˈmɪnɪm(ə)l],极小的、极少的,
grill,[ɡrɪl],烧烤、烤架,
quaint,[kweɪnt],古雅的,
shutter,[ˈʃʌtər],百叶窗,
picket fence, ,尖桩篱笆栅栏,
pale yellow, ,淡黄色,
rugs,[rʌɡz],地毯,
fireplace,[ˈfaɪərpleɪs],壁炉,
cupboard,[ˈkʌbərd],橱柜,
homey,[ˈhoʊmi],在家一样舒适的，自在的,
eco-friendly,[ˌiːkoʊ ˈfrendli],环保的，生态友好的,
solar panels, ,太阳能板,
dearest,[ˈdɪrɪst],最亲爱的，至爱的,
pesticides,[ˈpɛstɪsaɪdz],农药，杀虫剂,
fish pond, ,鱼塘,
journey,[ˈdʒɜːrni],旅行，心路历程,
journal,[ˈdʒɜːrn(ə)l],期刊，日记,
make no sense, ,没有意义 = don't make sense,
sarcasm (n), ,讥讽，挖苦,"sarcastic  讥讽的，挖苦的    I can't stand your sarcastic jokes anymore.
satire (n)  讽刺  多用于文艺作品
satirical (adj)  讽刺的  but it's more of a satirical way of speaking about businessman."
I though to myself, ,我暗自思忖,
shuttle bus, ,班车,
turn it over to, ,移交给(如：演讲时引出别人),
blessed,[ˈblesɪd],幸运的，有福的,
There are a lot of time where..., ,很多时候。。。,There are a lot of time where I‘d be sitting and doing nothing.
Other than that, ,除此之外,
back to the point, ,回到正题,
make good on the promise, ,兑现承诺,make good on one's debts. 偿清债务
leeway,[ˈliːweɪ],余地，自由空间,How much leeway should parents give their children?
approach life, ,对待生活,How we should approach life? the way to approach life
life-live辨析, ,如下,"life：
生活：How did you adjust to lolleage life?
生命：Is there life on Mars?
人生：Life seems so unfair sometimes.
live:
住：I live in America.
活着 He lived for his work. He live to be 100.
live life：
live life in the moment. 活在当下
That's how I live life.  这就是我的生活方式。
live life authentically. 真正的生活
live life to the fullest 充分生活"
bleak,[bliːk],黯淡的,bleak prospect 前途黯淡
that being said, ,话虽如此,
That's pretty much it., ,差不多就是这样。,
I want to keep a pet dog., ,我想养一只宠物狗。,
anticipate,[ænˈtɪsɪpeɪt],预料,Something I did not anticipate is that... / We anticipate that sales will rise next year.
genuinely,[ˈdʒenjuɪnli],多指心理上“真正的”,"I genuinely like...
I genuinely believe in...
I will genuinely be shocked at myself/ He was genuinely surprized."
You definitely check it out., ,你一定要看看。,
be obsessed with, ,迷上了...,But then we get a little bit obsessed with the details.
on your terms, ,按照你自己的意愿,Go ahead and live your life on your terms.
fruition,[fruˈɪʃ(ə)n],计划、目标、想法收效,"These plans take times to come fruition.
Make our goals come to fruition and our dreams come true."
pull off, ,赢得，完成,That is not an easy thing to pull off./  I’am sure you will pull off the competition./ I pull off a stunning victory.
recur,[rɪˈkɜːr],再现,make sure that such a crisis does not recur.
recurring,[rɪˈkɜːrɪŋ],屡次出现的,...hit by recurring water shortages.
miscellaneous,[ˌmɪsəˈleɪniəs],杂项，混杂的(misc) [米瑟来年斯],
crack on, ,继续加油,Let's crack on anyway.
flirt,[flɜːrt],调情,flirt with someone
pedophilia,[ˌpiːdəˈfɪliə; ˌpedəˈfɪliə],恋童癖,
next up, ,接下来,
gripping,[ˈɡrɪpɪŋ],(电影或故事)扣人心弦的,The film is so gripping.
deem,[diːm],认为(正式),Some people deem it is an dangerous signal.
highten, ,提高、增强,"The move has hightende tension in the state.
highten awareness of ...
get heightened.
heighten the drama"
catch on, ,流行,It tooks quite a while to catch on in Europe.
low key, ,低调,lay low 保持低调
go after, ,追求,go after the life that you want
mindset,[ˈmaɪndset],心态，思维模式,"It's hard to understand sb's mindset.
get used to the mindset of speaking in a different language.
inhabit a positive mindset.  保持积极的心态"
snuff out, ,扼杀,
be around, ,"在(某地), (和某人)在一起","She must be around somewhere.
if you've been around this community for a while...
I don't wanna be around you./ Be around confident people."
come off, ,有“结果是”的意思,that type of journaling can come off really intimidating to a lot of people.
approachable,[əˈproʊtʃəbl],平易近人的,
encompass,[ɪnˈkʌmpəs],包含，围住，覆盖,
spontaneously,[spɑːnˈteɪniəsli],自发地,Many people spontaneously to stood up and cheered.
on the spur-of-the-moment, ,不假思索的，一时冲动的,They admitted they had taken a vehicle on the spur of the moment.
altercation,[ˌɔːltərˈkeɪʃ(ə)n],口角、争执,
tailor,[ˈteɪlər],裁缝，定做(衣服),
cardiac arrest, ,心跳停止,
procedure,[prəˈsiːdʒər],手续，步骤，流程,
lay flat on your back, ,仰面平躺,
revolt,[rɪˈvoʊlt],造反,
chronic,[ˈkrɑːnɪk],慢性的，长期的，严重的,chronicle 编年史
major,[ˈmeɪdʒər],还有严重、少校的意思,"major attack
major accident"
evacuation,[ɪˌvækjuˈeɪʃ(ə)n],疏散，撤离,
dissuade,[dɪˈsweɪd],劝阻，制止,
red tape, ,（官僚的）繁文缛节,
tarrif, ,关税,
clasy, ,优质的，上等的,
what was it like..., ,怎么样,
longevity,[lɔːnˈdʒevəti],寿命，耐用期,
composite materials, ,复合材料,
rip (sb) off, ,宰人,
slack off, ,偷懒、懈怠,
day-to-day,[ˌdeɪ tə ˈdeɪ],日常的,
it's just the way things are, ,事情就是这样,
ritual,[ˈrɪtʃuəl],仪式,
overkill,[ˈoʊvərkɪl],过分,Such security measures may be overkill.
make the most of time, ,充分利用时间,
exert,[ɪɡˈzɜːrt],施加(压力，影响),"exert pressure / an inflence on
exert a little bit of energy  耗费一点精力"
drift off to sleep, ,慢慢睡去,
in a row, ,连续,He call me three times in a row. / do something four years in a row
answer the phone, ,接电话,
mantra,[ˈmɑːntrəˌˈmæntrə],口头禅,
chill out, ,放松,
reflect,[rɪˈflekt],除了反射，还有“反思”的意思,"While the sun starts to go down, I reflect on how I spent my time."
pretty much, ,=almost 几乎,"Pretty much every kitchen has something that you eat on, right?"
set forward the watch/clock, ,拨快手表/钟表,
natural disasters, ,自然灾害,
unprecedented,[ʌnˈpresɪdentɪd],前所未有的，史无前例的，空前的,It's an unprecedented success.
meteorology,[ˌmiːtiəˈrɑːlədʒi],气象学,"meteorological  气象的
A series of unprecedented meteorological events occurred around the world."
avalanche,[ˈævəlæntʃ],雪崩,a major avalanche was reported in the Alps.
drought,[draʊt],干旱,This place has suffered a six month drought
closure,[ˈkloʊʒər],倒闭，关闭,...the closure of the steel mill ...这家钢厂的关闭
hurricane,[ˈhɜːrəkeɪn],飓风,typhoon 台风
stay tuned, ,继续收看,Stay tuned to this series for more on the topic./ Stay tuned for updates on the six o'clock.
hydro power, ,水力发电,"hydroelectric station 水力发电站
take advantage of the floating of the water to genarate power."
supper,[ˈsʌpər],= dinner 晚餐 （美国南部更常用）,The last supper.最后的晚餐
crispy,[ˈkrɪspi],酥脆的,
soy sauce, ,酱,soy bean 大豆
onion,[ˈʌnjən],洋葱,
garlic,[ˈɡɑːrlɪk],大蒜,
ginger,[ˈdʒɪndʒər],生姜,
pepper,[ˈpepər],胡椒粉,
sour,[ˈsaʊər],酸的,"salty 咸的
spicy辣的
bitter苦的"
disgrace,[dɪsˈɡreɪs],耻辱，使丢人,
attendant,[əˈtendənt],（加油站或停车场的）服务员,
gasoline,[ˈɡæsəliːn; ˌɡæsəˈliːn],汽油(美),petrol(英)
acronym,[ˈækrənɪm],首字母缩略词,
pulse,[pʌls],脉搏,His pulse rate dropped suddenly.
anytime soon, ,近期,...do sth anytime soon
fracture,[ˈfræktʃər],断裂，骨折,
all you ever do, ,你就只会。。。,
scenic route, ,观光路线,
jury,[ˈdʒʊri],陪审团,
prosecution,[ˌprɑːsɪˈkjuːʃ(ə)n],控告方,
defendant,[dɪˈfendənt],被告,
testimony,[ˈtestɪmoʊni],证词,
verdict,[ˈvɜːrdɪkt],裁决,I ask you to think carefully before giving your verdict.
close the deal, ,达成交易,
distributor,[dɪˈstrɪbjətər],经销商,
manufacturer,[ˌmænjuˈfæktʃərər],生产商、制造商,
exemplify,[ɪɡˈzemplɪfaɪ],是...的典范,"The room's style exemplifies their ideal of ""beauty and practicality."""
spring,[sprɪŋ],还有“突然跳”的意思,spring into my mind inmmediately.
trait,[treɪt],特征、特质,I think your brand examplifies many of the same traits as my brand.
tariff,[ˈtærɪf],关税,
cut corners, ,偷工减料，投机取巧，抄近路,
hand down, ,传下去,The idea of handing down his knowledge from generation to generation is important to me.\ be handed down from ancestors 从祖先传承下来
later get back to you, ,稍后再回复你,
scam,[skæm],(非正式)欺骗,get scammed 被骗
exceed,[ɪkˈsiːd],超过,Its research budget exceeds $700 million a year.
cart,[kɑːrt],购物车,
plunge,[plʌndʒ],投入(水中),"plunge into water  突然陷入
plunge into chaos 骤降
stock market took a huge pluange"
bull market, ,牛市,bear market 熊市   （bear 熊、容忍    beer 啤酒）
nerve-racking,[ˈnɜːrv rækɪŋ],伤脑筋的，令人神经紧张的,
in-laws,[ˈɪn lɔːz],亲家,"mother in law 岳母
father in law 岳父"
thanks for having me, ,谢谢您的款待,
last will and testament, ,临终遗嘱,
reside in, ,居住在，存在于,
sound,[saʊnd],还有“健康的，状况良好的”意思,sound mind and body 健全的心智和身体（身心健康）
instrument,[ˈɪnstrəmənt],器械、乐器、仪器，手段,
revoke,[rɪˈvoʊk],撤销、废除,The government revoked her licence\ The police revoke her dirver lience
direct,[dəˈrekt],直接的、指向、指挥、导演,
disposition,[ˌdɪspəˈzɪʃ(ə)n],性情,She has a good disposition.
ceiling,[ˈsiːlɪŋ],天花板、上限  相反的词为 floor,
spouse,[spaʊs],配偶 (注意发音）,
estate,[ɪˈsteɪt],遗产[法律],
residue,[ˈrezɪduː],残留物,residue of my estate 剩余的遗产
heir,[er],继承人,...the heir to the throne  王位继承人
relatives,[ˈrelətɪvz],作名词为“亲戚”,
descent,[dɪˈsent],下降、下坡、血统,
be cremated, ,火化、火葬,
as follows, ,如下,Please do as follows  请按如下方式操作
burial plot, ,墓地,
sort out, ,挑出来、整理、解决,
reckless,[ˈrekləs],鲁莽的,
clumsy,[ˈklʌmzi],笨拙的,
outspoken,[aʊtˈspoʊkən],直言不讳的,
magnanimous,[mæɡˈnænɪməs],宽宏大量的,
introverted,[ˈɪntrəvɜːrtɪd],内向的，不爱交际的,extrovert 外向的
eloquent,[ˈeləkwənt],能说会道的,
daring,[ˈderɪŋ],大胆的、无畏的,
cured,[kjʊr],熏制的、风干的,cured meat 熏肉、腌肉
sausage,[ˈsɔːsɪdʒ],香肠、腊肠,
olive,[ˈɑːlɪv],橄榄,
cucumber,[ˈkjuːkʌmbər],黄瓜,
pickle,[ˈpɪkl],泡菜、腌菜、咸菜,pickled cucumber 腌黄瓜
skimmed milk, ,脱脂牛奶,
fat,[fæt],还有“脂肪”的意思,
Get a move on, ,赶快,
Nerver mind that., ,别管那些/  别介意那些,
way more, ,=much more （非正式，口语化）,
have is that..., ,据说,rumour \ report \legend has it that... 据谣传、据报道、据传说。。。
decline,[dɪˈklaɪn],下降、谢绝,
downward trend, ,下跌趋势,"...if the downward trend continues,  population could stark shrinking soon..."
stem from, ,出自于,All my problems stem from drink / ...the decline in births stemmed from a combination of factors...
feed themself, ,养活自己,"They don't has as much as we do, and don't have enough money to feed themself."
make ends meet, ,收支平衡，引申为“维持生计”,Many families struggle to make ends meet.
needy,[ˈniːdi],贫困的,
finalize,[ˈfaɪnəlaɪz],确定、敲定,finalize the agreement.
pitch in, ,投入、贡献,Can you pitch in a little of your time with this project that I have?
fall on hard time, ,陷入困境,
acrimonious,[ˌækrɪˈmoʊniəs],（言辞、辩论）激烈的，尖刻的 （词根：acri：尖的）,
get down to business, ,开始干正事,
proposal,[prəˈpoʊz(ə)l],(n)提议，建议,"marriage proposal 求婚
to table a proposal 提出建议
rationalization proposal 合理化建议
propose  (v)提议（词根：pro-前,公开 + -pos-放置 + -al）"
business proposal, ,商业计划书；投资建议书,
custody,[ˈkʌstədi],监护权,
antique,[ænˈtiːk],古董、古老的,
gramophone,[ˈɡræməfoʊn],留声机,
drag out, ,拖延,I don't want to drag this out any longer than necessary.
adorable,[əˈdɔːrəb(ə)l],可爱的,
alley,[ˈæli],小巷,ally  同盟
reconcile,[ˈrekənsaɪl],调和、和解,reconcile with sb
quintessential,[ˌkwɪntɪˈsenʃl],典型的[正式],Everybody thinks of him as the quintessential New Yorker.
fierce,[fɪrs],凶猛的、激烈的,
consciously or subconsciously, ,有意无意的,
detrimental,[ˌdetrɪˈment(ə)l],有害的、不利的,"It can be extremely detrimental, depending on which side you end up on."
scheme,[skiːm],计划、方案,We devised a scheme to help him. （schedule 日程）
live in the boonies, ,生活在穷乡僻壤,
refit,[ˈriːfɪt],整修、改装,
renovate,[ˈrenəveɪt],翻新,
hybrid vehicle, ,混合动力车,
feasible,[ˈfiːzəb(ə)l],可行的,hybrid vehicle and solar panels are too expensive to be feasible right now.
hippies,[ˈhɪpiz],嬉皮士,
carpool,[ˈkɑːrpuːl],拼车,I carpool to work with some buddies(兄弟) of mine.
barrel,[ˈbærəl],木桶(大),
bucket,[ˈbʌkɪt],桶(一般，小),
water the plants, ,给植物浇水,
bio-degradable plastic, ,可生物降解塑料,
dispose,[dɪˈspoʊz],处理、丢弃,
disposable,[dɪˈspoʊzəb(ə)l],一次性的 （cups or cutlery）杯子或餐具,
emit,[iˈmɪt],放出、发出(气体、气味、光、热),The gas that emitted from exhaust pipe.
global climate change, ,全球气候变化,
energy efficient, ,节能的,
light bulb, ,电灯泡,
ecosystem,[ˈiːkoʊsɪstəm],生态系统,
sustainable development, ,可持续发展,
beard,[bɪrd],大胡子,mustache 小胡子
burglar,[ˈbɜːrɡlər],窃贼,burglar alarm 防盗警报
park bench, ,公园长椅,
snoop,[snuːp],窥探,snoop around 四处窥探
pass on, ,传递,He's been snooping and passing on the info to us. 他一直在窥探然后传递消息给我们。
for goodness' sake, ,看在上帝的份上（表示生气）,
solicit,[səˈlɪsɪt],征求、索求 [正式],solicit opinions 征求意见
catalog,[ˈkætəlɔːɡ],目录,
No need to sweat it., ,不用担心,
hall,[hɔːl],礼堂、大厅、走廊、过道,"exhibition hall 展览厅
city hall 市政厅
memory hall 纪念馆"
venue,[ˈvenjuː],举办场所,We're still trying to decide on a venue. 我们仍然在设法选定一个会场。 What's the venue?
officiate,[əˈfɪʃieɪt],主持,xxx officiated at the funeral 某某主持了葬礼
counsel,[ˈkaʊns(ə)l],忠告，建议[正式]，辩护律师,
no-brainer,[ˌnoʊ ˈbreɪnər],无脑的、简单的,
tone it down a bit, ,语气放缓一些,
sting,[stɪŋ],(虫子、水母、毒草等) 蛰,"Put that down right now! It could sting you. (这里用could表示有这个能力，而would表示有这个意愿)
过去式-stung"
by the time we leave, ,我们离开的时候,
here and there, ,到处,Peppers were scattered here and there on the  floor.
sole,[soʊl],除了”唯一“，还有“脚底，鞋底”的意思,
各种鞋子单词, ,如下,"shoelace 鞋带
sneaker 球鞋
athletic shoes 运动鞋
boot 靴子
dress shoes 皮鞋
hiking boots 登山鞋
sandal 凉鞋"
fabric,[ˈfæbrɪk],布料,"The fabric is not leather, is canvas.  布料不是皮革，而是帆布"
fertilizer,[ˈfɜːrtəlaɪzər],肥料,
rake,[reɪk],耙子,
shovel,[ˈʃʌv(ə)l],铲子,
hoe,[hoʊ],锄头,
scissor,[ˈsɪzər],剪刀,
till the soil, ,耕、犁地,
sow seeds, ,播种,
on the contrary, ,正相反,
What have you been up to, ,你最近在忙什么,
refreshment,[rɪˈfreʃmənt],茶点,
curriculum,[kəˈrɪkjələm],课程,curriculum vitae 履历
extracurricular,[ˌekstrəkəˈrɪkjələr],课外的,
appreciate,[əˈpriːʃieɪt],除了”欣赏“、”感激“、还有”增值“的意思,
split-second,[ˌsplɪt ˈsekənd],瞬间的,She had to make a split-second decision.
swallow,[ˈswɑːloʊ],吞咽,
swollen,[ˈswoʊlən],肿胀,
antibiotic,[ˌæntibaɪˈɑːtɪk],抗生素,
sedative,[ˈsedətɪv],镇定剂,
make time, ,抽时间,Thank you so much for making some time to see me.
insomnia,[ɪnˈsɑːmniə],失眠,
melatonin,[ˌmeləˈtoʊnɪn],褪黑素,
dreadful,[ˈdredf(ə)l],糟糕透顶的,
apply to one's situation, ,不适用于xx的情况,
transient,[ˈtrænʃ(ə)nt],短期的，短暂的,transient effect /reduction
do the trick, ,奏效,It won't do the trick.
wilderness,[ˈwɪldərnəs],荒野,
periodical,[ˌpɪriˈɑːdɪk(ə)l],期刊，定期的,
quarterly,[ˈkwɔːrtərli],季度的,
head straight for..., ,直奔去。。。,Everyday I wake up and head straight for shower.
conditioner,[kənˈdɪʃənər],护发素,air conditioner 空调
rinse... out, ,冲洗掉,rinse out mouth 漱口
manage to, ,设法做,I seldom manage to take a shower in under twenty minutes.
afterwards,[ˈæftərwərdz],之后，后来,
brew,[bruː],冲、沏（咖啡，茶）,He brewed a pot of coffee.
every now and then, ,= from time to time 时不时的,
That's more like it, ,那还差不多，那才像话,
walk,[wɔːk],还有 遛(狗)的意思,"feed it, bathe it, and walk it everyday."
fulfilling,[fʊlˈfɪlɪŋ],令人满足的，使人有成就感的,
infuse,[ɪnˈfjuːz],注入、灌输,
circulation,[ˌsɜːrkjəˈleɪʃ(ə)n],发行量、流通,The money in circulation... 流通中的货币
pledge,[pledʒ],承诺(给钱),pledge $999
humble,[ˈhʌmb(ə)l],谦逊的,
arrogant,[ˈærəɡənt],自大的,
not much of a ..., ,算不上是...,something of a ... 算是个...
address,[əˈdres],除了“地址，还有”“设法解决”的意思,"address the problem\issue，
还有“演讲”的意思，address the audience 对听众演讲"
narrative,[ˈnærətɪv],叙事,
I'm a sucker for ..., ,对。。。没有抵抗力,
seizing the opportunities, ,抓住机遇,
monument,[ˈmɑːnjumənt],纪念碑,
enormous,[ɪˈnɔːrməs],巨大的,
stump  ( si dang pu), ,树桩,"stump of a enormous tree
辨析：stamp  邮票"
relic,[ˈrelɪk],遗迹,
column,[ˈkɑːləm],柱子,
in a row, ,连续,This is her third win in a row 这是她连续获得的第三次胜利
refuge,[ˈrefjuːdʒ],庇护,"take refuge 求助
refugee 难民"
pursue,[pərˈsuː],贯彻、追求、追赶,
protagonist,[prəˈtæɡənɪst],主人公、主角,
tunnel,[ˈtʌn(ə)l],隧道,
hype,[haɪp],炒作,
accessory,[əkˈsesəri],配件、配饰,
outrageous,[aʊtˈreɪdʒəs],不可接受的,
crayon,[ˈkreɪən],蜡笔,
restless,[ˈrestləs],坐立不安的,
go all out, ,全力以赴,
embryo,[ˈembrioʊ],胚胎,fetus  胎儿
remuneration,[rɪˌmjuːnəˈreɪʃ(ə)n],薪酬,
per annum, ,每年 [拉丁，书面],
overview,[ˈoʊvərvjuː],概览,
housing allowance, ,住房津贴,
kick off, ,有 “开始、开球” 的意思，,
trophy,[ˈtroʊfi],奖杯,
eliminate,[ɪˈlɪmɪneɪt],淘汰、根除,
quarterfinal,"[,kwɔ:tə'fainəl]",四分之一决赛,
semifinal,[ˌsemaɪˈfaɪnl; ˌsemiˈfaɪnl],半决赛,
final,[ˈfaɪn(ə)l],总决赛,qualify the final 取得决赛资格
sissy,[ˈsɪsi],娘娘腔,
You are grounded, ,你被禁足了,
curfew,[ˈkɜːrfjuː],宵禁,
put one's foot down, ,出面、使用权利(制止),
workforce,[ˈwɜːrkfɔːrs],劳动力,
vacancy,[ˈveɪkənsi],空缺（职位、酒店房间）,
comprise,[kəmˈpraɪz],包含,"be comprise of 由...构成
Aborigines now comprise about 2% of Australia's population."
revolver,[rɪˈvɑːlvər],左轮手枪,
abide,[əˈbaɪd],遵守,You have got to abide by the rules.
head over to, ,前往,Let's head over to the meeting room where we'll have more space.
cheek,[tʃiːk],面颊,
chin,[tʃɪn],下巴,
mole,[moʊl],痣、鼹鼠,
bushy,[ˈbʊʃi],浓密的,
eyebrow,[ˈaɪbraʊ],眉毛,
eyelash,[ˈaɪlæʃ],睫毛,
pointy,[ˈpɔɪnti],尖尖的,
freckle,[ˈfrek(ə)l],雀斑,
dimple,[ˈdɪmp(ə)l],酒窝,
oval,[ˈoʊv(ə)l],蛋形,ellipse [数]椭圆形
spring to mind, ,想到、脑海呈现,If any other question spring to mind...
shortlist,[ˈʃɔːrtlɪst],候选名单,
converse,[kənˈvɜːrs],交谈、相反的、[品牌]匡威,"converse in english
converse with someone
conversation  The main topic of conversation was Tom's new girlfriend.
辨析：communicate 偏向于“交流”"
an array of, ,大量、各种,
press against, ,挤压,
floss,[flɑːs],牙线,floss or brush your teeth / dental floss
anesthetic,[ˌænəsˈθetɪk],麻醉剂,anesthetize  使麻醉
aesthetic,[esˈθetɪk],审美、美学,
brace,[breɪs],支撑、牙套,"brace yourself for some diffcult thing.
brace up 振作起来"
embrace,[ɪmˈbreɪs],拥抱,
pest control, ,害虫防治,pest 害虫
drizzle,[ˈdrɪz(ə)l],毛毛雨,It will be drizzling all day today.
hail,[heɪl],冰雹、招呼,hail a taxi 叫出租车
flavor,[ˈfleɪvər],口味,
beverage,[ˈbevərɪdʒ],饮品、饮料[书面],
overdue,[ˌoʊvərˈduː],逾期的,
undermine,[ˌʌndərˈmaɪn],逐渐削弱、损害,undermine the essence of the company
preferable,[ˈprefrəb(ə)l],更好的,preferably 最好是
You really look sharp today, ,你今天看起来真靓,
lame,[leɪm],瘸的、站不住脚的,
seep,[siːp],渗入、渗透,Gas is seeping into the house
torture,[ˈtɔːrtʃər],折磨、拷打,
chamber,[ˈtʃeɪmbər],...室,"torture chamber 酷刑室
cold chamber 冷却室"
touch on, ,谈及，涉及,
marketing campaign, ,营销活动,
rival,[ˈraɪv(ə)l],匹敌者,"competitor 竞争者
enemy 敌人
opponent 对手"
in leaps and bounds, ,迅速的,Wireless banking is growing in leaps and bounds.  / leap（跳跃）bound（弹跳）
down to, ,有归结于...的意思,...is certainly down to the hard work of all of you here.  (成功)归结于这儿的每一个人
going from strength to strength, ,变得越来越强大,
nanny,[ˈnæni],保姆,
Are you up for some ..., ,要来点。。。吗？,Are you up for grabing a bite to eat later on?
This way ..., ,这样一来。。。,
refer,[rɪˈfɜːr],还有“介绍”的意思,I can refer you a great nanny Amy. 我可以介绍你一个好的保姆Amy。
now and then, ,时不时,
run some errands, ,办些杂事、跑腿,Tomorrow I have to run some errands for my mom.
juggle,[ˈdʒʌɡl],杂耍、兼顾应付,I have to juggle lots of different thing./ I have to juggle such a busy schedule.
convention,[kənˈvenʃ(ə)n],习俗、惯例、公约,international convention 国际惯例
conventional,[kənˈvenʃən(ə)l],传统的,
bogus,[ˈboʊɡəs],假冒的,
cut-throat,[ˈkʌt θroʊt],(竞争)残酷的、激烈的,the cut-throat competition in personal computers.
untapped,[ˌʌnˈtæpt],未利用的,untapped potential market 未开发的潜在市场
tap into, ,挖掘、对。。善加利用,
market share, ,市场占有率,
drop in the ocean, ,沧海一粟 (这里drop是水滴的意思),
reap,[riːp],获得,"reap the benefits of...
reap huge rewards in a very short time frame（时间范围）"
compare and contrast, ,比较和对比,compare倾向于比较相同点，contrast倾向于比较差异点
stove,[stoʊv],炉子,
oven,[ˈʌv(ə)n],烤箱、烤炉,
blender,[ˈblendər],搅拌机,
toaster,[ˈtoʊstər],烤面包机,
surcharge,[ˈsɜːrtʃɑːrdʒ],附加费,hidden fees 隐形费用
in a little depth, ,稍微深入一点,"This is a key question, and is something I’d like to explore in a little depth."
a cut above the rest, ,出类拔萃、比其他都好,His latest novel is a cut above the rest.
performance,[pərˈfɔːrməns],除了“表演”，还有“业绩”、“性能”的游戏,
bear in mind, ,谨记,There are three points to bear in mind.
differentiate,[ˌdɪfəˈrenʃieɪt],使不同,What differentiate A with B？
conservative estimate, ,保守的估计,
airbag,[ˈerbæɡ],安全气囊,
It come with..., ,它有。。。(介绍用),
You have a choice of either ... or ..., ,"这里汉语表达通常是""你有两个选择，A 和 B""，中间要断句才行，没有英语表达流畅",
down-payment,[ˌdaʊn ˈpeɪmənt],首付,
hood,[hʊd],引擎盖,What's under the hood? 引擎盖下有什么？
cutting-edge,[ˌkʌtɪŋ ˈedʒ],前沿的，尖端的,cutting-edge technology 前沿科技
state-of-the-art, ,最先进的,
enviable,[ˈenviəb(ə)l],令人羡慕的,
breathtaking,[ˈbreθteɪkɪŋ],令人惊叹的,
workmanship,[ˈwɜːrkmənʃɪp],工艺,
foremost,[ˈfɔːrmoʊst],首要的、最好的,He was one of the world's foremost scholars of ancient Indian culture 。This question has been foremost in our minds recently
value for money, ,划算、物有所值,It is good value for money for our customers.
hands down, ,轻而易举的,We really win hands down on value for money
sleep tight, ,睡个好觉,
toss and turn, ,辗转反侧(睡不着),toss 扔、抛
hit the hay, ,睡觉(俚语),hay 干草
snooze,[snuːz],小睡、打盹,
drop something off, ,落下,I dropped my computer off at the repair shop.
head to, ,前往,"I‘m heading home.
I’m headed to the store.
It's time to head out."
accidentally,[ˌæksɪˈdentəli],不小心地,You might try accidentally breaking something valuable of hers.
here is the deal, ,你看这样行不行；事情是这样的,
parking lot, ,停车场,
cliche,[#N/A],陈词滥调,That's a cliche story.
rough patch, ,困难时期,temporary time period time where things are going bad.
sulk,[sʌlk],生闷气,
soak,[soʊk],浸透、浸泡,you are soaked.  你全身都浸湿了
It's not worth my time., ,不值得我浪费时间。,
broad overview, ,概述,
conceptual understanding, ,概念上的理解,
fundamental concepts, ,基础概念,
vibrate,[ˈvaɪbreɪt],震动、颤动（手机震动也用的这个）,
validation,[ˌvælɪˈdeɪʃn],认可,
podium,[ˈpoʊdiəm],讲台、领奖台,
equally as, ,同样的...,People are equally as important in delivering software.
nominated,[ˈnɒmɪneɪtɪd],被提名,And It was even nominated for a Grammy
anonymous,[əˈnɑːnɪməs],匿名的,
